ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
11829.54,CALL,W6-26,slow_greet,degraded,11829.55,0.01,[fallback-slow] Service temporarily unavailable 
11830.0,CALL,W5-26,slow_greet,degraded,11830.02,0.01,[fallback-slow] Service temporarily unavailable 
11855.32,CALL,W0-27,slow_greet,degraded,11855.41,0.08,[fallback-slow] Service temporarily unavailable 
11857.79,CALL,W4-27,slow_greet,degraded,11857.8,0.01,[fallback-slow] Service temporarily unavailable 
11857.81,CALL,W2-27,slow_greet,degraded,11857.83,0.01,[fallback-slow] Service temporarily unavailable 
11858.92,CALL,W7-27,slow_greet,degraded,11858.96,0.04,[fallback-slow] Service temporarily unavailable 
11859.66,CALL,W1-27,slow_greet,degraded,11859.71,0.05,[fallback-slow] Service temporarily unavailable 
11859.73,CALL,W3-27,slow_greet,degraded,11859.74,0.01,[fallback-slow] Service temporarily unavailable 
11860.26,CALL,W6-27,slow_greet,degraded,11860.26,0.01,[fallback-slow] Service temporarily unavailable 
11860.78,CALL,W5-27,slow_greet,degraded,11860.8,0.02,[fallback-slow] Service temporarily unavailable 
11886.52,CALL,W0-28,slow_greet,degraded,11886.53,0.01,[fallback-slow] Service temporarily unavailable 
11887.8,CALL,W4-28,slow_greet,degraded,11887.82,0.01,[fallback-slow] Service temporarily unavailable 
11888.88,CALL,W2-28,slow_greet,degraded,11888.89,0.01,[fallback-slow] Service temporarily unavailable 
11889.94,CALL,W7-28,slow_greet,degraded,11889.96,0.02,[fallback-slow] Service temporarily unavailable 
11890.58,CALL,W3-28,slow_greet,degraded,11890.61,0.03,[fallback-slow] Service temporarily unavailable 
11890.65,CALL,W1-28,slow_greet,degraded,11890.67,0.01,[fallback-slow] Service temporarily unavailable 
11891.11,CALL,W6-28,slow_greet,degraded,11891.13,0.02,[fallback-slow] Service temporarily unavailable 
11891.69,CALL,W5-28,slow_greet,degraded,11891.7,0.01,[fallback-slow] Service temporarily unavailable 
11916.69,CALL,W0-29,slow_greet,degraded,11916.73,0.04,[fallback-slow] Service temporarily unavailable 
11918.65,CALL,W4-29,slow_greet,degraded,11918.66,0.01,[fallback-slow] Service temporarily unavailable 
11919.26,CALL,W2-29,slow_greet,degraded,11919.28,0.01,[fallback-slow] Service temporarily unavailable 
11920.35,CALL,W7-29,slow_greet,degraded,11920.43,0.08,[fallback-slow] Service temporarily unavailable 
11921.0,CALL,W1-29,slow_greet,degraded,11921.01,0.01,[fallback-slow] Service temporarily unavailable 
11921.03,CALL,W3-29,slow_greet,degraded,11921.04,0.01,[fallback-slow] Service temporarily unavailable 
11921.56,CALL,W6-29,slow_greet,degraded,11921.57,0.01,[fallback-slow] Service temporarily unavailable 
11922.49,CALL,W5-29,slow_greet,degraded,11922.51,0.02,[fallback-slow] Service temporarily unavailable 
11947.65,CALL,W0-30,slow_greet,degraded,11947.7,0.05,[fallback-slow] Service temporarily unavailable 
11949.33,CALL,W4-30,slow_greet,degraded,11949.35,0.03,[fallback-slow] Service temporarily unavailable 
11949.95,CALL,W2-30,slow_greet,degraded,11949.96,0.01,[fallback-slow] Service temporarily unavailable 
11951.3,CALL,W7-30,slow_greet,degraded,11951.31,0.01,[fallback-slow] Service temporarily unavailable 
11951.97,CALL,W3-30,slow_greet,degraded,11951.99,0.01,[fallback-slow] Service temporarily unavailable 
11952.02,CALL,W1-30,slow_greet,degraded,11952.03,0.01,[fallback-slow] Service temporarily unavailable 
11952.5,CALL,W6-30,slow_greet,degraded,11952.51,0.01,[fallback-slow] Service temporarily unavailable 
11953.53,CALL,W5-30,slow_greet,degraded,11953.55,0.01,[fallback-slow] Service temporarily unavailable 
