ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
35999.48,CTRL,C1-9,REPLACE_V3,OK,36000.58,1.1,→ v20
36298.33,CTRL,C0-11,REPLACE_V2,OK,36299.33,1.0,→ v21
36420.03,CALL,W7-58,slow_greet,v2,38421.18,2001.15,"Slow hey, W7-58! Welcome back! (from greeter v2."
36420.56,CALL,W0-58,slow_greet,v2,38421.06,2000.49,"Slow hey, W0-58! Welcome back! (from greeter v2."
36420.59,CALL,W8-58,slow_greet,v2,38421.22,2000.63,"Slow hey, W8-58! Welcome back! (from greeter v2."
36422.54,CALL,W5-58,slow_greet,v2,38423.11,2000.57,"Slow hey, W5-58! Welcome back! (from greeter v2."
36422.69,CALL,W6-58,slow_greet,v2,38423.15,2000.46,"Slow hey, W6-58! Welcome back! (from greeter v2."
36423.76,CALL,W3-58,slow_greet,v2,38423.99,2000.23,"Slow hey, W3-58! Welcome back! (from greeter v2."
36427.42,CALL,W12-58,slow_greet,v2,38427.96,2000.53,"Slow hey, W12-58! Welcome back! (from greeter v2"
36427.49,CALL,W13-58,slow_greet,v2,38427.83,2000.33,"Slow hey, W13-58! Welcome back! (from greeter v2"
36427.52,CALL,W2-58,slow_greet,v2,38428.02,2000.5,"Slow hey, W2-58! Welcome back! (from greeter v2."
36427.55,CALL,W10-58,slow_greet,v2,38427.99,2000.43,"Slow hey, W10-58! Welcome back! (from greeter v2"
36427.57,CALL,W15-58,slow_greet,v2,38428.07,2000.5,"Slow hey, W15-58! Welcome back! (from greeter v2"
36427.6,CALL,W14-58,slow_greet,v2,38428.04,2000.45,"Slow hey, W14-58! Welcome back! (from greeter v2"
36427.98,CALL,W9-58,slow_greet,v2,38428.48,2000.5,"Slow hey, W9-58! Welcome back! (from greeter v2."
36429.17,CALL,W1-58,slow_greet,v2,38429.45,2000.28,"Slow hey, W1-58! Welcome back! (from greeter v2."
36430.52,CALL,W11-58,slow_greet,v2,38430.82,2000.3,"Slow hey, W11-58! Welcome back! (from greeter v2"
36432.56,CALL,W4-58,slow_greet,v2,38433.24,2000.69,"Slow hey, W4-58! Welcome back! (from greeter v2."
36916.6,CTRL,C1-10,UNLOAD,OK,36916.87,0.27,unload=True
38278.54,CTRL,C0-12,REPLACE_V2,OK,38279.32,0.78,→ v22
38451.67,CALL,W0-59,slow_greet,v2,40452.28,2000.61,"Slow hey, W0-59! Welcome back! (from greeter v2."
38451.74,CALL,W7-59,slow_greet,v2,40452.32,2000.58,"Slow hey, W7-59! Welcome back! (from greeter v2."
38452.32,CALL,W8-59,slow_greet,v2,40452.82,2000.51,"Slow hey, W8-59! Welcome back! (from greeter v2."
38454.37,CALL,W6-59,slow_greet,v2,40454.53,2000.16,"Slow hey, W6-59! Welcome back! (from greeter v2."
38454.43,CALL,W5-59,slow_greet,v2,40454.64,2000.21,"Slow hey, W5-59! Welcome back! (from greeter v2."
38455.02,CALL,W3-59,slow_greet,v2,40455.15,2000.13,"Slow hey, W3-59! Welcome back! (from greeter v2."
38458.49,CALL,W13-59,slow_greet,v2,40458.99,2000.5,"Slow hey, W13-59! Welcome back! (from greeter v2"
38458.97,CALL,W14-59,slow_greet,v2,40459.63,2000.66,"Slow hey, W14-59! Welcome back! (from greeter v2"
38459.02,CALL,W12-59,slow_greet,v2,40459.6,2000.58,"Slow hey, W12-59! Welcome back! (from greeter v2"
38459.05,CALL,W2-59,slow_greet,v2,40459.67,2000.62,"Slow hey, W2-59! Welcome back! (from greeter v2."
38459.09,CALL,W10-59,slow_greet,v2,40459.69,2000.6,"Slow hey, W10-59! Welcome back! (from greeter v2"
38459.11,CALL,W15-59,slow_greet,v2,40459.52,2000.41,"Slow hey, W15-59! Welcome back! (from greeter v2"
38459.58,CALL,W1-59,slow_greet,v2,40460.12,2000.54,"Slow hey, W1-59! Welcome back! (from greeter v2."
38459.6,CALL,W9-59,slow_greet,v2,40460.16,2000.56,"Slow hey, W9-59! Welcome back! (from greeter v2."
38461.09,CALL,W11-59,slow_greet,v2,40461.19,2000.1,"Slow hey, W11-59! Welcome back! (from greeter v2"
38463.68,CALL,W4-59,slow_greet,v2,40463.86,2000.18,"Slow hey, W4-59! Welcome back! (from greeter v2."
38959.04,CTRL,C1-11,RELOAD_V2,OK,38960.04,1.0,→ v23
39859.53,CTRL,C1-12,RELOAD_V2,OK,39860.59,1.06,→ v24
39893.23,CTRL,C0-13,REPLACE_V2,OK,39894.23,1.0,→ v25
40482.96,CALL,W7-60,slow_greet,v2,42483.46,2000.5,"Slow hey, W7-60! Welcome back! (from greeter v2."
40483.03,CALL,W0-60,slow_greet,v2,42483.42,2000.38,"Slow hey, W0-60! Welcome back! (from greeter v2."
40483.54,CALL,W8-60,slow_greet,v2,42484.45,2000.91,"Slow hey, W8-60! Welcome back! (from greeter v2."
40485.54,CALL,W3-60,slow_greet,v2,42486.13,2000.6,"Slow hey, W3-60! Welcome back! (from greeter v2."
40485.58,CALL,W6-60,slow_greet,v2,42486.16,2000.58,"Slow hey, W6-60! Welcome back! (from greeter v2."
40485.62,CALL,W5-60,slow_greet,v2,42486.19,2000.57,"Slow hey, W5-60! Welcome back! (from greeter v2."
40489.84,CALL,W14-60,slow_greet,v2,42490.33,2000.5,"Slow hey, W14-60! Welcome back! (from greeter v2"
40489.89,CALL,W2-60,slow_greet,v2,42490.36,2000.47,"Slow hey, W2-60! Welcome back! (from greeter v2."
40489.96,CALL,W13-60,slow_greet,v2,42490.02,2000.06,"Slow hey, W13-60! Welcome back! (from greeter v2"
40490.0,CALL,W10-60,slow_greet,v2,42490.13,2000.12,"Slow hey, W10-60! Welcome back! (from greeter v2"
40490.02,CALL,W12-60,slow_greet,v2,42490.29,2000.27,"Slow hey, W12-60! Welcome back! (from greeter v2"
40490.5,CALL,W15-60,slow_greet,v2,42490.82,2000.32,"Slow hey, W15-60! Welcome back! (from greeter v2"
40491.04,CALL,W1-60,slow_greet,v2,42491.54,2000.5,"Slow hey, W1-60! Welcome back! (from greeter v2."
